Brand Name,Address,latitude,longitude,charging type,charging port,cost per unit,payment type
Massive Mobility,"175, Patparganj Industrial Area, Patparganj",28.642213,77.314837,Charging,2,15,Cash/E-Wallet
Massive Mobility,"B-50/9, Haruan Basti, Kondli",28.616411,77.328853,Charging,1,15,Cash/E-Wallet
Massive Mobility,"Plot No 2, Musddi Chowk, Sarai Kale Khan Hazrat Nizamuddin",28.586625,77.255717,Charging,1,15,Cash/E-Wallet
Massive Mobility,"H.no. 16, Gali no 2, Jagat Puri",28.689011,77.302756,Charging,1,15,Cash/E-Wallet
Massive Mobility,"Plot no. 1, Sarai kale khan Hazrat Nizamuddin",28.586483,77.255344,Charging,1,15,Cash/E-Wallet
Massive Mobility,Jaitpur Gurudwara Road Hari Nagar,28.505096,77.319491,Charging,1,15,Cash/E-Wallet
Massive Mobility,"House no. 125, GF, Opp. Ordinance Depot Pashchim Vihar",28.670794,77.116681,Charging,10,15,Cash/E-Wallet
Massive Mobility,"B-14/A, Deoli Rd, Duggal Colony Khanpur",28.509692,77.232363,Charging,1,15,Cash/E-Wallet
Massive Mobility,"WZ 1022, Pocket D2A, Nangal Raya Mayapuri",28.606645,77.108468,Charging,1,15,Cash/E-Wallet
Massive Mobility,"1242-1282, Main Mubarakpur Road, Prem Nagar-2, Kirari Pashchim Vihar",28.695075,77.059357,Charging,2,15,Cash/E-Wallet
Massive Mobility,"Plot no. 33/3, JJ colony Shakurpur",28.684605,77.141202,Charging,1,15,Cash/E-Wallet
Massive Mobility,"K.H.No 33/9 &amp; 33/12, Village Samaipur, Delhi Engg. College, Bawana Road Samaipur",28.744364,77.120604,Charging,1,15,Cash/E-Wallet
Massive Mobility,"489/55/11, Maharishi Dayanand Marg, Block A, Corner Market, Shivalik Colony, Malviya Nagar",28.540548,77.212697,Charging,1,15,Cash/E-Wallet
Massive Mobility,"Shop-2, Maharaj Singh Market, M.B. Road Lal Kuan",28.502182,77.284986,Charging,1,15,Cash/E-Wallet
Massive Mobility,"1-5928-29, Loni Road, Kabool Nagar Shahdara",28.676254,77.292422,Charging,1,15,Cash/E-Wallet
Massive Mobility,"Mangal Pandey Marg, Nand Nagri Mandoli",28.697203,77.313596,Charging,1,15,Cash/E-Wallet
Massive Mobility,"559, Jheel Khurenja Krishna Nagar",28.656915,77.275707,Charging,1,15,Cash/E-Wallet
Massive Mobility,"F-725, Baba Farid Puri Patel nagar",28.658606,77.169682,Charging,1,15,Cash/E-Wallet
Revos,"Zypp Electric Hub, Ghazipur",28.6286659240722,77.3186950683593,Charging,1,5,E-Wallet/Card/UPI
Revos,Zypp Electric Ghazipur Station,28.6287193298339,77.3186645507812,Charging,1,5,E-Wallet/Card/UPI
Revos,Zypp Electric Ghazipur Station,28.6286602020263,77.3188171386718,Charging,1,5,E-Wallet/Card/UPI
Revos,Zypp Electric Ghazipur Station,28.6287059783935,77.3187637329101,Charging,1,5,E-Wallet/Card/UPI
Revos,Zypp Electric Ghazipur Station,28.6287193298339,77.3187179565429,Charging,1,5,E-Wallet/Card/UPI
Revos,Zypp Electric Ghazipur Station,28.6287051491766,77.3187561705708,Charging,1,,E-Wallet/Card/UPI
Revos,Zypp Electric Ghazipur Station,28.6287063263217,77.3187139257788,Charging,1,,E-Wallet/Card/UPI
Revos,Zypp Electric Gazipur Station,28.6286642433747,77.3187387362122,Charging,1,10,E-Wallet/Card/UPI
Revos,Zypp Electric Gazipur Station,28.6287083863256,77.3186981678009,Charging,1,10,E-Wallet/Card/UPI
Revos,G57 Vikas Marg Laxmi Nagar Delhi 110092,28.6327991801547,77.2807522863149,Charging,1,15,E-Wallet/Card/UPI
Revos,"2/115 Geeta colony, Near Ramlila ground",28.6544140864978,77.2735257446765,Charging,1,12,E-Wallet/Card/UPI
Revos,"Ps Enterprise Shop No-9 GT Road Shahdara, near petrol pump",28.6755735995546,77.2908591851592,Charging,1,,E-Wallet/Card/UPI
Revos,"PS Enterprise, Shoop No-9, DDA market, Shahdara, Near petrol pump",28.6754582908164,77.2910425812005,Charging,1,,E-Wallet/Card/UPI
Revos,scope minar PNB Bank,28.6386623382568,77.2850723266601,Charging,1,15,E-Wallet/Card/UPI
Revos,"557 A, G. T. Road, opp.UCO bank,Shahdara,Delhi-110032",28.6761207260215,77.2954695671796,Charging,1,30,E-Wallet/Card/UPI
Revos,"B 60, DDA Colony, New jafrabad,Delhi",28.6844764040059,77.2797001898288,Charging,1,30,E-Wallet/Card/UPI
Revos,"B60, DDA Colony, New Jafrabad Delhi",28.6844690507611,77.2795865312218,Charging,1,30,E-Wallet/Card/UPI
Revos,"h. no. 830, st. no. 30, indra chowk, jafrabad",28.6804535137299,77.2715053707361,Charging,1,30,E-Wallet/Card/UPI
Revos,C-147 20 futa road meet Nagar Delhi 110093,28.7041691877432,77.3009637370705,Charging,1,40,E-Wallet/Card/UPI
Revos,kondli sabzi Mandi chowk near agrawal sweets shop name  Ali store Delhi 110096,28.6144189322315,77.3262247815728,Charging,1,50,E-Wallet/Card/UPI
Revos,Apex Graphics 12A/52A Road no 66 near crispers food maujpur delhi 110053,28.6846755296781,77.2753104194998,Charging,1,40,E-Wallet/Card/UPI
Revos,12A/52A Road no.66 near crispers food maujur delhi 110053,28.6846667058011,77.2752960026264,Charging,1,40,E-Wallet/Card/UPI
Revos,12A/52A Road no.66 near crispers food maujur delhi 110053,28.6846825887792,77.2753006964922,Charging,1,40,E-Wallet/Card/UPI
Revos,"WS-94, Gali No. 3, BudhBazaar Road, Sudamapuri, Babarpur, Shahdara, Delhi 110032",28.6862235203286,77.2771621495485,Charging,1,40,E-Wallet/Card/UPI
Revos,"WS-94, Gali No 3, BudhBazaar Road, Sudamapuri, Babarpur, Shahdara, Delhi 110032",28.6860014558137,77.2770478203892,Charging,1,40,E-Wallet/Card/UPI
Revos,"WS-94, Gali No 3, BudhBazaar Road, Sudamapuri, Babarpur, Shahdara, Delhi 1110032",28.686028515356,77.2769827768206,Charging,1,40,E-Wallet/Card/UPI
Revos,"4 west laxmi market,  khureji,  delhi -51",28.6441955566406,77.279312133789,Charging,1,20,E-Wallet/Card/UPI
Revos,555/1karkari road vishwas nagar delhi,28.6662649521058,77.2936218604445,Charging,1,30,E-Wallet/Card/UPI
Revos,555/1 karkari road viswash nagar,28.6662620102966,77.2936634346842,Charging,1,40,E-Wallet/Card/UPI
Revos,C-1/207 harsh vihar near lal mandir 110093,28.7013251550705,77.322078756988,Charging,1,40,E-Wallet/Card/UPI
Revos,C1/207 Harsh vihar Delhi 93,28.7013580922991,77.3222148790955,Charging,1,40,E-Wallet/Card/UPI
Revos,C1/207 Harsh vihar Delhi 93,28.701225755157,77.3219020664691,Charging,1,40,E-Wallet/Card/UPI
Revos,67 Radhey Shyam Park Parwana Road Delhi,28.64670753479,77.2871551513671,Charging,1,10,E-Wallet/Card/UPI
Revos,"F151 naveen shahdara PANCHHEEL Garden

Delhi",28.6766825572154,77.2798312827944,Charging,1,50,E-Wallet/Card/UPI
Revos,10/114 Subhash gali  60 feeta  Road Vishwas nagar shahdra  Delhi 110032,28.6673625353583,77.2991539165377,Charging,1,40,E-Wallet/Card/UPI
Revos,10/114 Subhash gali 60 feeta Road vishwas nagar shahdra Delhi 110032,28.6673598877577,77.2991374880075,Charging,1,40,E-Wallet/Card/UPI
Revos,a/86 meet nagar main mangal bazar road delhi 110094,28.7026952762101,77.2964049875736,Charging,1,40,E-Wallet/Card/UPI
Revos,10/114 subhash gali 60 feet road vishwas nagar shahdra Delhi 110032,28.6673334117485,77.299181073904,Charging,1,40,E-Wallet/Card/UPI
Revos,10/114 Subhash gali  60 feeta Road Vishwas nagar shahdra Delhi  110032,28.6673851870492,77.2991861030459,Charging,1,40,E-Wallet/Card/UPI
Revos,19/114 Subhash gali 60 feeta Road Vishwas nagar shahdra Delhi 110032,28.6673804802047,77.299159951508,Charging,1,40,E-Wallet/Card/UPI
Revos,"K-34, New Gobind Pura Extension, Near Punajb Sweet Shop, Som Bazar Road",28.6506242451985,77.2854692861437,Charging,1,,E-Wallet/Card/UPI
Revos,27/127gali no 6 vishwas nagar shahadra delhi 110032,28.6643371582031,77.2920379638671,Charging,1,,E-Wallet/Card/UPI
Revos,shop no. 22 gali no. 4d aram park shastri nagar Delhi 110031,28.6438462634438,77.2781297564506,Charging,1,30,E-Wallet/Card/UPI
Revos,"7/333A Shri Krishna Gali opp Indra Park, Jwala Nagar Shahdara East Delhi 110032",28.6695035397743,77.298567853868,Charging,1,2,E-Wallet/Card/UPI
Revos,c-1/1 golden park shivpuri main road extn opposite Dr lal path labs,28.6535377502441,77.2797012329101,Charging,1,50,E-Wallet/Card/UPI
Revos,J-6 Pal Chowk M.S park Delhi 110032,28.6799708271068,77.2982919216156,Charging,1,50,E-Wallet/Card/UPI
Revos,J-6 pal Chowk M.S park Delhi 110032,28.6800752476191,77.2980062663555,Charging,1,50,E-Wallet/Card/UPI
Revos,"Shpo no 143 135 DDA  indra Markit old seema puri 
delhi95",28.680389390955,77.3269359022378,Charging,1,40,E-Wallet/Card/UPI
Revos,Shop no.15 Tahirpur Red light,28.6879570779821,77.3205901309848,Charging,1,40,E-Wallet/Card/UPI
Revos,"Home no.98,O block fhase 4 shive vihar dehli karaval nagar 94 near m/s saksham clinic",28.7264766693115,77.2830429077148,Charging,1,30,E-Wallet/Card/UPI
Revos,h.no 120 main nala road shiv vihar krawal nagar,28.7181973629522,77.2798420116305,Charging,1,40,E-Wallet/Card/UPI
Revos,h.no 120 main nala road shiv vihar krawal nagar,28.7182032436524,77.2797531634569,Charging,1,40,E-Wallet/Card/UPI
Revos,Laxmi Nagar,28.6361158990998,77.2768037393689,Charging,1,,E-Wallet/Card/UPI
Revos,c-1/220 new kondli near R K tower,28.6054389463005,77.3338291794061,Charging,1,40,E-Wallet/Card/UPI
Revos,"c-1/220 new kondli near R,K g tower Delhi4",28.6054613170117,77.3338969051837,Charging,1,40,E-Wallet/Card/UPI
Revos,naveen shahdara PANCHHEEL garden delhi,28.6763342810607,77.2795114293694,Charging,1,,E-Wallet/Card/UPI
Revos,E11/A162Shastri park near petrol pump Delhi 53,28.6725505272369,77.2548324242234,Charging,1,40,E-Wallet/Card/UPI
Revos,E11/A162shastri park Delhi 53,28.67248434048,77.255283370614,Charging,1,40,E-Wallet/Card/UPI
Revos,I 115 sunder nagri delhi 93,28.6956262702999,77.3222071677446,Charging,1,50,E-Wallet/Card/UPI
Revos,c53 shashi garden mayur vihar phase 1 delhi,28.6100790007953,77.2967208176851,Charging,1,40,E-Wallet/Card/UPI
Revos,c53 shashi garden mayur vihar phase 1 delhi,28.6100042387911,77.2966024652123,Charging,1,40,E-Wallet/Card/UPI
Revos,Aggarwal  Auto parts  D-247  Dilshad garden  110095,28.6794790198014,77.3180896416306,Charging,1,50,E-Wallet/Card/UPI
Revos,Aggarwal Auto parts D-247 Dilshad Garden  Delhi  110095,28.6795469670008,77.3182130232453,Charging,1,50,E-Wallet/Card/UPI
Revos,Om Sai motors Tahirpur,28.6886073752913,77.3195118829608,Charging,1,50,E-Wallet/Card/UPI
Revos,Om sai motors Tahirpur,28.6885856105439,77.3195668682456,Charging,1,50,E-Wallet/Card/UPI
Revos,Om Sai motors Tahirpur,28.6885876693715,77.3195631802082,Charging,1,50,E-Wallet/Card/UPI
Revos,"A-32/33, main road, sombazaar, 4Â½ Pusta, Gamri extension",28.6943089950166,77.2549735754728,Charging,1,45,E-Wallet/Card/UPI
Revos,1249 ground flour janta flat gtb enclave delhi93,28.6896826658253,77.3140659928321,Charging,1,40,E-Wallet/Card/UPI
Revos,E6 kirshana nagar near Gyan deep siksha Niketan delhi,28.6622978473633,77.2819441929459,Charging,1,40,E-Wallet/Card/UPI
Revos,E6 kirshana nagar near Gyan deep siksha Niketan delhi,28.6621831124002,77.2819307819008,Charging,1,40,E-Wallet/Card/UPI
Revos,S-32 KRISHNA NAGAR NEAR BY RATNA DEVI SCHOOL DOMINOS CHACHI BUILDING SATNAAM ROAD DELHI 110051,28.6616288525021,77.2804002463817,Charging,1,40,E-Wallet/Card/UPI
Revos,pocket F gate no 4 near Greenfield public school delhe,28.6861382240806,77.3127667978406,Charging,1,40,E-Wallet/Card/UPI
Revos,south ganesh nagar delhi,28.625391138983,77.2858860343694,Charging,1,40,E-Wallet/Card/UPI
Revos,E25 pandav nagar near hero showroom delhi,28.6172791565822,77.2867564111948,Charging,1,40,E-Wallet/Card/UPI
Revos,57 tanchua mohlla village chilla,28.5957625784409,77.299471758306,Charging,1,40,E-Wallet/Card/UPI
Revos,Main road Tahir pur h no 136,28.6867279432715,77.3190756887197,Charging,1,40,E-Wallet/Card/UPI
Revos,Near CNN pump tahirpur  Delhi  110095,28.6858232156108,77.3182629793882,Charging,1,40,E-Wallet/Card/UPI
Revos,C 81 radhy shyam park extension gali no 4 near jagatpuri police station,28.6437688772892,77.2851457446813,Charging,1,40,E-Wallet/Card/UPI
Revos,38/5/2 Aram park shastri nagar laxmi nagar road,28.6448187347789,77.2792683541774,Charging,1,100,E-Wallet/Card/UPI
Revos,38/5/2 Aram park shastri nagar laxmi nagar road,28.644766948333,77.2792375087738,Charging,1,20,E-Wallet/Card/UPI
Revos,21 block trilokpuri,28.6056414599338,77.3062973096966,Charging,1,40,E-Wallet/Card/UPI
Revos,"217, Main Chhatarpur Rd",28.6844696390207,77.327311746776,Charging,1,40,E-Wallet/Card/UPI
Revos,Shop No. 2 Prop No. C-21 Dilshad Colony,28.6844040480549,77.3272933065891,Charging,1,40,E-Wallet/Card/UPI
Revos,16/ 124 geeta colony,28.6472091222168,77.2788861393928,Charging,1,15,E-Wallet/Card/UPI
Revos,ekta bike  scooty spares rashid market patpargang road delhi 51,28.6480220886905,77.2793126106262,Charging,1,40,E-Wallet/Card/UPI
Revos,ekta bike  scooty spares rashid market patpargang road delhi 51,28.647777875754,77.2792747244238,Charging,1,40,E-Wallet/Card/UPI
Revos,Shop no12 new govind pura bhagat singh road,28.6486691031071,77.2814194858074,Charging,1,50,E-Wallet/Card/UPI
Revos,Shop no12 new govind pura bhagat singh road,28.6487100011102,77.2812240198254,Charging,1,30,E-Wallet/Card/UPI
Revos,6 /154 Geeta Colony Delhi 31,28.6542331446229,77.2740987315774,Charging,1,15,E-Wallet/Card/UPI
Revos,6/154 Geeta Colony,28.6541328173675,77.2741476818919,Charging,1,15,E-Wallet/Card/UPI
BSES,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
BSES,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
BSES,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
BSES,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
BSES,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
BSES,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
BSES,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
BSES,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
PlugNgo,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
PlugNgo,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Kalindi E-Rickshaw Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
JMD vehicles Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Ambika Enterprises Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Das Motors Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Kalindi e rickshaw Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
R K Enterprises Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
B.G Hub Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Malik and Company Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
R.k Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Bineet Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Tabassum Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Ashu parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Malik Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Shahid E-Rickshaw Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Altaf Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
M.A. Batteries  Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Shri Sai E Rickshaw Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Yogesh Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Shri Balaji E Rickshaw Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Satya Charging Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Sabri Batteries Charging Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Sanjay Kumar Charging Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Gaurav Charging Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Rakesh Electrical Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Mahak Enterprises Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Ma Laxmi Battery House Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Baldeva Charging Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Kishore Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Smart E - Shahdara Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Smart E- Dilshad Garden Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Nabbu Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Ali Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Anand Enterprises Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
New Micro Power Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
